ID ,Tweets,Label
B51,#ThingsFriendsWontTellYou You sagging your pants with a ntswape,TIN
B94,@USER What have you done...Distorting our hindu scriptures...Sick people like you,TIN
B99,@USER do the two of you sit at home and practice your talking points?  Do you feel sad that your ratings suck?,TIN
B120,"@USER @USER @USER @USER ""I got a little penis, it's pathetic! Would a spy pee himself?!""",UNT
B184,Somebody come get her she's dancing like a stripper,TIN
B239,"@USER Ag,u a not going to say anything just like Zuma with no evidence to back your affidavit,u a useless",TIN
B243,I eat dick in the afternoon and call it lunchiao 🤤,UNT
B369,"@USER Yes he does. His entire public presence is built on racism, hate and stirring the flames of both.",TIN
B396,"@USER @USER ""Trump is a clown. He is being laughed at all over the world"" @USER",TIN
B411,"@USER @USER For someone that says he is a man of God, you are a disgusting human being - and you are not a Bishop.",TIN
B503,"some men are trash, and there’s no arguing about it.  a thread.",TIN
B512,@USER He is a con alright. Still owes money to the IRS. Easy to shut this fake down.,TIN
B553,"Cummings is a fat, rich Dem living off the backs of people in his district who keeps voting for a man who does nothing for them.",TIN
B569,Also some of y’all pussy just might be trash too so don’t think stamina why they not bussing,TIN
B598,@USER @USER Distract narrative from massive incoming News. Yes [they] are that sick.,TIN
B634,@USER @USER Dehumanize? He barely has a reflection of human,TIN
B641,@USER @USER We all are suffering from a corrupt con artist president in the WH. Where is your indignation regarding this.,TIN
B651,@USER @USER All coming from the hate filled Bishop. 🤣🤣🤣 You are a sick man.,TIN
B678,@USER You're a shameless pig but you knew that already.  Just a reminder.  Enjoy your jail time.,TIN
B730,"@USER They have to be, because your attacks puts their lives danger, you're a jerk.",TIN
B738,@USER i should block you for disrespecting the goat but i’ll let it slide just like my dick slid in yo butt,UNT
B743,@USER @USER I was agreeing with you about the whole Jeremy thing but saying no white men can be trusted is extremely sexist.,TIN
B759,I shouldn’t be up and hungry this early 😩 like stomach empty as a mf,UNT
B793,"@USER @USER is the definition of a small, insecure, failure of a man. His pettiness is all he has left. A TOTAL LOSER",TIN
B828,"@USER That’s sick, you should be ashamed.",TIN
B861,"men who voted yes are childish, sorry are you 17??Men, would you have a problem if a girl said if she’s not receiving head she’s not giving head?",TIN
B922,Skinny dudes the worst to cuddle with.  Might as well fall asleep on a pile of remotes.,TIN
B934,"turn your ringer off and go to sleep, babygirl. he still gon be trash in the morning, it’s okay",TIN
B957,Any good fijian men that aren’t crazy religious and homophobic and colourist.... hmu,TIN
B965,"@USER ""He surely is lucky to have your tight pussy to pound hehehe~.""",UNT
B970,I’m gonna say he doesn’t really. You should check the zip code demographics of his various properties 😏Only liars could deny that Al Sharpton hates white people,TIN
B996,@USER Take a good look at that liberal face. Why do all white liberals have the same dork face,TIN
B997,@USER He’s a kid dammit,UNT
B1006,@USER You’re the crazy type,TIN
